year,category,name,gender,born,age,country
2016,chemistry,Bernard L. Feringa,male,1951-05-18 00:00:00,65,the Netherlands
2016,chemistry,Sir J. Fraser Stoddart,male,1942-05-24 00:00:00,74,United Kingdom
2016,chemistry,Jean-Pierre Sauvage,male,1944-10-21 00:00:00,72,France
2016,physics,J. Michael Kosterlitz,male,1943-06-22 00:00:00,73,United Kingdom
2016,physics,F. Duncan M. Haldane,male,1951-09-14 00:00:00,65,United Kingdom
2016,physics,David J. Thouless,male,1934-09-21 00:00:00,82,United Kingdom
2016,medicine,Yoshinori Ohsumi,male,1945-02-09 00:00:00,71,Japan
2015,medicine,Satoshi Omura,male,1935-07-12 00:00:00,80,Japan
2015,economics,Angus Deaton,male,1945-10-19 00:00:00,70,Scotland
2015,chemistry,Aziz Sancar,male,1946-09-08 00:00:00,69,Turkey
2015,chemistry,Paul Modrich,male,1946-06-13 00:00:00,69,USA
2015,chemistry,Tomas Lindahl,male,1938-01-28 00:00:00,77,Sweden
2015,physics,Arthur B. McDonald,male,1943-08-29 00:00:00,72,Canada
2015,physics,Takaaki Kajita,male,1959-03-09 00:00:00,56,Japan
2015,medicine,Youyou Tu,female,1930-12-30 00:00:00,85,China
2015,medicine,William C. Campbell,male,1930-06-28 00:00:00,85,Ireland
2014,chemistry,Stefan W. Hell,male,1962-12-23 00:00:00,52,Romania
2014,medicine,May-Britt Moser,female,1963-01-04 00:00:00,51,Norway
2014,economics,Jean Tirole,male,1953-08-09 00:00:00,61,France
2014,chemistry,William E. Moerner,male,1953-06-24 00:00:00,61,USA
2014,chemistry,Eric Betzig,male,1960-01-13 00:00:00,54,USA
2014,physics,Shuji Nakamura,male,1954-05-22 00:00:00,60,Japan
2014,physics,Hiroshi Amano,male,1960-09-11 00:00:00,54,Japan
2014,physics,Isamu Akasaki,male,1929-01-30 00:00:00,85,Japan
2014,medicine,Edvard I. Moser,male,1962-04-27 00:00:00,52,Norway
2014,medicine,John O'Keefe,male,1939-11-18 00:00:00,75,USA
2013,medicine,Thomas C. Sudhof,male,1955-12-22 00:00:00,58,Germany
2013,chemistry,Martin Karplus,male,1930-03-15 00:00:00,83,Austria
2013,physics,Franois Englert,male,1932-11-06 00:00:00,81,Belgium
2013,economics,Robert J. Shiller,male,1946-03-29 00:00:00,67,USA
2013,economics,Lars Peter Hansen,male,1952-10-26 00:00:00,61,USA
2013,economics,Eugene F. Fama,male,1939-02-14 00:00:00,74,USA
2013,chemistry,Arieh Warshel,male,1940-11-20 00:00:00,73,Israel
2013,chemistry,Michael Levitt,male,1947-05-09 00:00:00,66,South Africa
2013,physics,Peter Higgs,male,1929-05-29 00:00:00,84,United Kingdom
2013,medicine,Randy W. Schekman,male,1948-12-30 00:00:00,65,USA
2013,medicine,James E. Rothman,male,1950-11-03 00:00:00,63,USA
2012,physics,Serge Haroche,male,1944-09-11 00:00:00,68,Morocco
2012,economics,Lloyd S. Shapley,male,1923-06-02 00:00:00,89,USA
2012,economics,Alvin E. Roth,male,1951-12-18 00:00:00,61,USA
2012,chemistry,Brian Kobilka,male,1955-05-30 00:00:00,57,USA
2012,chemistry,Robert J. Lefkowitz,male,1943-04-15 00:00:00,69,USA
2012,physics,David J. Wineland,male,1944-02-24 00:00:00,68,USA
2012,medicine,Shinya Yamanaka,male,1962-09-04 00:00:00,50,Japan
2012,medicine,Sir John B. Gurdon,male,1933-10-02 00:00:00,79,United Kingdom
2011,economics,Christopher A. Sims,male,1942-10-21 00:00:00,69,USA
2011,economics,Thomas J. Sargent,male,1943-07-19 00:00:00,68,USA
2011,chemistry,Dan Shechtman,male,1941-01-24 00:00:00,70,Israel
2011,physics,Adam G. Riess,male,1969-12-16 00:00:00,42,USA
2011,physics,Brian P. Schmidt,male,1967-02-24 00:00:00,44,USA
2011,physics,Saul Perlmutter,male,1959,52,USA
2011,medicine,Ralph M. Steinman,male,1943-01-14 00:00:00,68,Canada
2011,medicine,Jules A. Hoffmann,male,1941-08-02 00:00:00,70,Luxembourg
2011,medicine,Bruce A. Beutler,male,1957-12-29 00:00:00,54,USA
2010,economics,Christopher A. Pissarides,male,1948-02-20 00:00:00,62,Cyprus
2010,economics,Dale T. Mortensen,male,1939-02-02 00:00:00,71,USA
2010,economics,Peter A. Diamond,male,1940-04-29 00:00:00,70,USA
2010,chemistry,Akira Suzuki,male,1930-09-12 00:00:00,80,Japan
2010,chemistry,Ei-ichi Negishi,male,1935-07-14 00:00:00,75,China
2010,chemistry,Richard F. Heck,male,1931-08-15 00:00:00,79,USA
2010,physics,Konstantin Novoselov,male,1974-08-23 00:00:00,36,Russia
2010,physics,Andre Geim,male,1958-10-21 00:00:00,52,Russia
2010,medicine,Robert G. Edwards,male,1925-09-27 00:00:00,85,United Kingdom
2009,economics,Oliver E. Williamson,male,1932-09-27 00:00:00,77,USA
2009,economics,Elinor Ostrom,female,1933-08-07 00:00:00,76,USA
2009,chemistry,Ada E. Yonath,female,1939-06-22 00:00:00,70,Israel
2009,chemistry,Thomas A. Steitz,male,1940-08-23 00:00:00,69,USA
2009,chemistry,Venkatraman Ramakrishnan,male,1952,57,India
2009,physics,George E. Smith,male,1930-05-10 00:00:00,79,USA
2009,physics,Willard S. Boyle,male,1924-08-19 00:00:00,85,Canada
2009,physics,Charles K. Kao,male,1933-11-04 00:00:00,76,China
2009,medicine,Jack W. Szostak,male,1952-11-09 00:00:00,57,United Kingdom
2009,medicine,Carol W. Greider,female,1961-04-15 00:00:00,48,USA
2009,medicine,Elizabeth H. Blackburn,female,1948-11-26 00:00:00,61,Australia
2008,economics,Paul Krugman,male,1953-02-28 00:00:00,55,USA
2008,chemistry,Roger Y. Tsien,male,1952-02-01 00:00:00,56,USA
2008,chemistry,Martin Chalfie,male,1947-01-15 00:00:00,61,USA
2008,chemistry,Osamu Shimomura,male,1928-08-27 00:00:00,80,Japan
2008,physics,Toshihide Maskawa,male,1940-02-07 00:00:00,68,Japan
2008,physics,Makoto Kobayashi,male,1944-04-07 00:00:00,64,Japan
2008,physics,Yoichiro Nambu,male,1921-01-18 00:00:00,87,Japan
2008,medicine,Luc Montagnier,male,1932-08-18 00:00:00,76,France
2008,medicine,Franoise Barr-Sinoussi,female,1947-07-30 00:00:00,61,France
2008,medicine,Harald zur Hausen,male,1936-03-11 00:00:00,72,Germany
2007,physics,Peter Grnberg,male,1939-05-18 00:00:00,68,Czech Republic
2007,physics,Albert Fert,male,1938-03-07 00:00:00,69,France
2007,economics,Roger B. Myerson,male,1951-03-29 00:00:00,56,USA
2007,economics,Eric S. Maskin,male,1950-12-12 00:00:00,57,USA
2007,economics,Leonid Hurwicz,male,1917-08-21 00:00:00,90,Russia
2007,chemistry,Gerhard Ertl,male,1936-10-10 00:00:00,71,Germany
2007,medicine,Oliver Smithies,male,1925-06-23 00:00:00,82,United Kingdom
2007,medicine,Sir Martin J. Evans,male,1941-01-01 00:00:00,66,United Kingdom
2007,medicine,Mario R. Capecchi,male,1937-10-06 00:00:00,70,Italy
