year;category;name;gender;born;age;country
2014;physics;Isamu Akasaki;male;1929;85;Japan
2014;medicine;Edvard I. Moser;male;1962;52;Norway
2014;medicine;John O'Keefe;male;1939;75;USA
2013;medicine;Thomas C. Sudhof;male;1955;58;Germany
2013;chemistry;Martin Karplus;male;1930;83;Austria
2013;physics;Franois Englert;male;1932;81;Belgium
2013;economics;Robert J. Shiller;male;1946;67;USA
2013;economics;Lars Peter Hansen;male;1952;61;USA
2013;economics;Eugene F. Fama;male;1939;74;USA
2013;chemistry;Arieh Warshel;male;1940;73;Israel
2013;chemistry;Michael Levitt;male;1947;66;South Africa
2013;physics;Peter Higgs;male;1929;84;United Kingdom
2013;medicine;Randy W. Schekman;male;1948;65;USA
2013;medicine;James E. Rothman;male;1950;63;USA
2012;physics;Serge Haroche;male;1944;68;Morocco
2012;economics;Lloyd S. Shapley;male;1923;89;USA
2012;economics;Alvin E. Roth;male;1951;61;USA
2012;chemistry;Brian Kobilka;male;1955;57;USA
2012;chemistry;Robert J. Lefkowitz;male;1943;69;USA
2012;physics;David J. Wineland;male;1944;68;USA
2012;medicine;Shinya Yamanaka;male;1962;50;Japan
2012;medicine;Sir John B. Gurdon;male;1933;79;United Kingdom
2011;economics;Christopher A. Sims;male;1942;69;USA
2011;economics;Thomas J. Sargent;male;1943;68;USA
2011;chemistry;Dan Shechtman;male;1941;70;Israel
2011;physics;Adam G. Riess;male;1969;42;USA
2011;physics;Brian P. Schmidt;male;1967;44;USA
2011;physics;Saul Perlmutter;male;1959;52;USA
2011;medicine;Ralph M. Steinman;male;1943;68;Canada
2011;medicine;Jules A. Hoffmann;male;1941;70;Luxembourg
2011;medicine;Bruce A. Beutler;male;1957;54;USA
2010;economics;Christopher A. Pissarides;male;1948;62;Cyprus
2010;economics;Dale T. Mortensen;male;1939;71;USA
2010;economics;Peter A. Diamond;male;1940;70;USA
2010;chemistry;Akira Suzuki;male;1930;80;Japan
2010;chemistry;Ei-ichi Negishi;male;1935;75;China
2010;chemistry;Richard F. Heck;male;1931;79;USA
2010;physics;Konstantin Novoselov;male;1974;36;Russia
2010;physics;Andre Geim;male;1958;52;Russia
2010;medicine;Robert G. Edwards;male;1925;85;United Kingdom
2009;economics;Oliver E. Williamson;male;1932;77;USA
2009;economics;Elinor Ostrom;female;1933;76;USA
2009;chemistry;Ada E. Yonath;female;1939;70;Israel
2009;chemistry;Thomas A. Steitz;male;1940;69;USA
2009;chemistry;Venkatraman Ramakrishnan;male;1952;57;India
2009;physics;George E. Smith;male;1930;79;USA
2009;physics;Willard S. Boyle;male;1924;85;Canada
2009;physics;Charles K. Kao;male;1933;76;China
2009;medicine;Jack W. Szostak;male;1952;57;United Kingdom
2009;medicine;Carol W. Greider;female;1961;48;USA
2009;medicine;Elizabeth H. Blackburn;female;1948;61;Australia
2008;economics;Paul Krugman;male;1953;55;USA
2008;chemistry;Roger Y. Tsien;male;1952;56;USA
2008;chemistry;Martin Chalfie;male;1947;61;USA
2008;chemistry;Osamu Shimomura;male;1928;80;Japan
2008;physics;Toshihide Maskawa;male;1940;68;Japan
2008;physics;Makoto Kobayashi;male;1944;64;Japan
2008;physics;Yoichiro Nambu;male;1921;87;Japan
2008;medicine;Luc Montagnier;male;1932;76;France
2008;medicine;Franoise Barr-Sinoussi;female;1947;61;France
2008;medicine;Harald zur Hausen;male;1936;72;Germany
2007;physics;Peter Grnberg;male;1939;68;Czech Republic
2007;physics;Albert Fert;male;1938;69;France
2007;economics;Roger B. Myerson;male;1951;56;USA
2007;economics;Eric S. Maskin;male;1950;57;USA
2007;economics;Leonid Hurwicz;male;1917;90;Russia
2007;chemistry;Gerhard Ertl;male;1936;71;Germany
2007;medicine;Oliver Smithies;male;1925;82;United Kingdom
2007;medicine;Sir Martin J. Evans;male;1941;66;United Kingdom
2007;medicine;Mario R. Capecchi;male;1937;70;Italy
2006;economics;Edmund S. Phelps;male;1933;73;USA
2006;chemistry;Roger D. Kornberg;male;1947;59;USA
2006;physics;George F. Smoot;male;1945;61;USA
2006;physics;John C. Mather;male;1946;60;USA
2006;medicine;Craig C. Mello;male;1960;46;USA
2006;medicine;Andrew Z. Fire;male;1959;47;USA
2005;chemistry;Yves Chauvin;male;1930;75;Belgium
2005;economics;Thomas C. Schelling;male;1921;84;USA
2005;economics;Robert J. Aumann;male;1930;75;Germany
2005;chemistry;Richard R. Schrock;male;1945;60;USA
2005;chemistry;Robert H. Grubbs;male;1942;63;USA
2005;physics;Theodor W. Hansch;male;1941;64;Germany
2005;physics;John L. Hall;male;1934;71;USA
2005;physics;Roy J. Glauber;male;1925;80;USA
2005;medicine;J. Robin Warren;male;1937;68;Australia
2005;medicine;Barry J. Marshall;male;1951;54;Australia
2004;economics;Edward C. Prescott;male;1940;64;USA
2004;economics;Finn E. Kydland;male;1943;61;Norway
2004;chemistry;Irwin Rose;male;1926;78;USA
2004;chemistry;Avram Hershko;male;1937;67;Hungary
2004;chemistry;Aaron Ciechanover;male;1947;57;Israel
2004;physics;Frank Wilczek;male;1951;53;USA
2004;physics;H. David Politzer;male;1949;55;USA
2004;physics;David J. Gross;male;1941;63;USA
2004;medicine;Linda B. Buck;female;1947;57;USA
2004;medicine;Richard Axel;male;1946;58;USA
2003;economics;Clive W.J. Granger;male;1934;69;United Kingdom
2003;economics;Robert F. Engle III;male;1942;61;USA
2003;chemistry;Roderick MacKinnon;male;1956;47;USA
2003;chemistry;Peter Agre;male;1949;54;USA
2003;physics;Anthony J. Leggett;male;1938;65;United Kingdom
2003;physics;Vitaly L. Ginzburg;male;1916;87;Russia
2003;physics;Alexei Abrikosov;male;1928;75;Russia
2003;medicine;Sir Peter Mansfield;male;1933;70;United Kingdom
2003;medicine;Paul C. Lauterbur;male;1929;74;USA
2002;chemistry;Kurt Wuthrich;male;1938;64;Switzerland
2002;economics;Vernon L. Smith;male;1927;75;USA
2002;economics;Daniel Kahneman;male;1934;68;Israel
2002;chemistry;Koichi Tanaka;male;1959;43;Japan
2002;chemistry;John B. Fenn;male;1917;85;USA
2002;physics;Riccardo Giacconi;male;1931;71;Italy
2002;physics;Masatoshi Koshiba;male;1926;76;Japan
2002;physics;Raymond Davis Jr.;male;1914;88;USA
2002;medicine;John E. Sulston;male;1942;60;United Kingdom
2002;medicine;H. Robert Horvitz;male;1947;55;USA
2002;medicine;Sydney Brenner;male;1927;75;South Africa
2001;economics;Joseph E. Stiglitz;male;1943;58;USA
2001;economics;A. Michael Spence;male;1943;58;USA
2001;economics;George A. Akerlof;male;1940;61;USA
2001;chemistry;Barry Sharpless;male;1941;60;USA
2001;chemistry;Ryoji Noyori;male;1938;63;Japan
2001;chemistry;William Knowles;male;1917;84;USA
2001;physics;Carl Wieman;male;1951;50;USA
2001;physics;Wolfgang Ketterle;male;1957;44;Germany
2001;physics;Eric Cornell;male;1961;40;USA
2001;medicine;Sir Paul Nurse;male;1949;52;United Kingdom
2001;medicine;Tim Hunt;male;1943;58;United Kingdom
2001;medicine;Leland Hartwell;male;1939;62;USA
2000;medicine;Arvid Carlsson;male;1923;77;Sweden
2000;economics;Daniel L. McFadden;male;1937;63;USA
2000;economics;James J. Heckman;male;1944;56;USA
2000;chemistry;Hideki Shirakawa;male;1936;64;Japan
2000;chemistry;Alan MacDiarmid;male;1927;73;New Zealand
2000;chemistry;Alan Heeger;male;1936;64;USA
2000;physics;Jack Kilby;male;1923;77;USA
2000;physics;Herbert Kroemer;male;1928;72;Germany
2000;physics;Zhores Alferov;male;1930;70;Belarus
2000;medicine;Eric Kandel;male;1929;71;Austria
2000;medicine;Paul Greengard;male;1925;75;USA
1999;physics;Gerardus 't Hooft;male;1946;53;the Netherlands
1999;economics;Robert Mundell;male;1932;67;Canada
1999;medicine;Gnter Blobel;male;1936;63;Poland
1999;chemistry;Ahmed Zewail;male;1946;53;Egypt
1999;physics;Martinus J.G. Veltman;male;1931;68;the Netherlands
1998;economics;Amartya Sen;male;1933;65;India
1998;medicine;Ferid Murad;male;1936;62;USA
1998;medicine;Louis J. Ignarro;male;1941;57;USA
1998;medicine;Robert F. Furchgott;male;1916;82;USA
1998;chemistry;John Pople;male;1925;73;United Kingdom
1998;chemistry;Walter Kohn;male;1923;75;Austria
1998;physics;Daniel C. Tsui;male;1939;59;China
1998;physics;Horst L. Stormer;male;1949;49;Germany
1998;physics;Robert B. Laughlin;male;1950;48;USA
1997;physics;Claude Cohen-Tannoudji;male;1933;64;Algeria
1997;economics;Myron Scholes;male;1941;56;Canada
1997;economics;Robert C. Merton;male;1944;53;USA
1997;medicine;Stanley B. Prusiner;male;1942;55;USA
1997;chemistry;Jens C. Skou;male;1918;79;Denmark
1997;chemistry;John E. Walker;male;1941;56;United Kingdom
1997;chemistry;Paul D. Boyer;male;1918;79;USA
1997;physics;William D. Phillips;male;1948;49;USA
1997;physics;Steven Chu;male;1948;49;USA
1996;economics;William Vickrey;male;1914;82;Canada
1996;economics;James A. Mirrlees;male;1936;60;Scotland
1996;medicine;Rolf M. Zinkernagel;male;1944;52;Switzerland
1996;medicine;Peter C. Doherty;male;1940;56;Australia
1996;chemistry;Richard E. Smalley;male;1943;53;USA
1996;chemistry;Sir Harold Kroto;male;1939;57;United Kingdom
1996;chemistry;Robert F. Curl Jr.;male;1933;63;USA
1996;physics;Robert C. Richardson;male;1937;59;USA
1996;physics;Douglas D. Osheroff;male;1945;51;USA
1996;physics;David M. Lee;male;1931;65;USA
1995;medicine;Christiane Nusslein-Volhard;female;1942;53;Germany
1995;chemistry;Paul J. Crutzen;male;1933;62;the Netherlands
1995;economics;Robert E. Lucas Jr.;male;1937;58;USA
1995;medicine;Eric F. Wieschaus;male;1947;48;USA
1995;medicine;Edward B. Lewis;male;1918;77;USA
1995;chemistry;F. Sherwood Rowland;male;1927;68;USA
1995;chemistry;Mario J. Molina;male;1943;52;Mexico
1995;physics;Frederick Reines;male;1918;77;USA
1995;physics;Martin L. Perl;male;1927;68;USA
1994;economics;Reinhard Selten;male;1930;64;Poland
1994;economics;John F. Nash Jr.;male;1928;66;USA
1994;economics;John C. Harsanyi;male;1920;74;Hungary
1994;medicine;Martin Rodbell;male;1925;69;USA
1994;medicine;Alfred G. Gilman;male;1941;53;USA
1994;chemistry;George A. Olah;male;1927;67;Hungary
1994;physics;Clifford G. Shull;male;1915;79;USA
1994;physics;Bertram N. Brockhouse;male;1918;76;Canada
1993;economics;Douglass C. North;male;1920;73;USA
1993;economics;Robert W. Fogel;male;1927;66;USA
1993;medicine;Phillip A. Sharp;male;1944;49;USA
1993;medicine;Richard J. Roberts;male;1943;50;United Kingdom
1993;chemistry;Michael Smith;male;1932;61;United Kingdom
1993;chemistry;Kary B. Mullis;male;1944;49;USA
1993;physics;Joseph H. Taylor Jr.;male;1941;52;USA
1993;physics;Russell A. Hulse;male;1950;43;USA
1992;physics;Georges Charpak;male;1924;68;Poland
1992;economics;Gary Becker;male;1930;62;USA
1992;medicine;Edwin G. Krebs;male;1918;74;USA
1992;medicine;Edmond H. Fischer;male;1920;72;China
1992;chemistry;Rudolph A. Marcus;male;1923;69;Canada
1991;medicine;Erwin Neher;male;1944;47;Germany
1991;medicine;Bert Sakmann;male;1942;49;Germany
1991;chemistry;Richard R. Ernst;male;1933;58;Switzerland
1991;physics;Pierre-Gilles de Gennes;male;1932;59;France
1991;economics;Ronald H. Coase;male;1910;81;United Kingdom
1990;economics;William F. Sharpe;male;1934;56;USA
1990;economics;Merton H. Miller;male;1923;67;USA
1990;economics;Harry M. Markowitz;male;1927;63;USA
1990;medicine;E. Donnall Thomas;male;1920;70;USA
1990;medicine;Joseph E. Murray;male;1919;71;USA
1990;chemistry;Elias James Corey;male;1928;62;USA
1990;physics;Richard E. Taylor;male;1929;61;Canada
1990;physics;Henry W. Kendall;male;1926;64;USA
1990;physics;Jerome I. Friedman;male;1930;60;USA
1989;physics;Hans G. Dehmelt;male;1922;67;Germany
1989;economics;Trygve Haavelmo;male;1911;78;Norway
1989;medicine;Harold E. Varmus;male;1939;50;USA
1989;medicine;J. Michael Bishop;male;1936;53;USA
1989;chemistry;Thomas R. Cech;male;1947;42;USA
